model,threshold,net_benefit,treat_all_nb,advantage
Random Forest,0.0992,0.41205519844492466,0.3994117997916982,0.012643398653226445
Random Forest,0.1042,0.4094362255097961,0.3960877187586504,0.013348506751145683
Random Forest,0.1092,0.39240343858683296,0.3927266372952753,-0.00032319870844232934
Random Forest,0.1141,0.39616397796790975,0.38932793416497946,0.006836043802930292
Random Forest,0.1191,0.3983045148820182,0.385890974145494,0.012413540736524176
Random Forest,0.124,0.3961979291169181,0.3824151076330788,0.013782821483839303
Random Forest,0.129,0.3964951404869793,0.37889967023320914,0.017595470253770173
Random Forest,0.1339,0.39698345385307937,0.3753439823372029,0.021639471515876474
Random Forest,0.1389,0.39502165367872566,0.37174734868422105,0.023274304994504613
Random Forest,0.1439,0.39579189918064966,0.36810905790804993,0.027682841272599734
Random Forest,0.1488,0.39676209681987606,0.36442838206804357,0.0323337147518325
Random Forest,0.1538,0.39793576114737816,0.36070457616357626,0.0372311849838019
Random Forest,0.1587,0.399316489566395,0.35693687763132687,0.04237961193506812
Random Forest,0.1637,0.39769911970902955,0.3531245058246798,0.044574613884349745
Random Forest,0.1687,0.3960624584695587,0.3492666614744985,0.0467957969950602
Random Forest,0.1736,0.3944061586266449,0.3453625261304874,0.04904363249615751
Random Forest,0.1786,0.39272986457590875,0.3414112615823236,0.05131860299358515
Random Forest,0.1835,0.37463976945244953,0.33741200925969667,0.03722776019275287
Random Forest,0.1885,0.3729223853587901,0.33336388961035657,0.03955849574843351
Random Forest,0.1934,0.37118388735358115,0.3292660014552212,0.04191788589835993
Random Forest,0.1984,0.36942388365966117,0.3251174213195527,0.04430646234010849
Random Forest,0.2034,0.36764197274676624,0.32091720273915747,0.046724770007608774
Random Forest,0.2083,0.365837743026131,0.3166643755405173,0.049173367485613684
Random Forest,0.2133,0.3640107725335416,0.3123579450936993,0.051652827439842286
Random Forest,0.2182,0.3621606286003281,0.30799689153683896,0.05416373706348915
Random Forest,0.2232,0.3602868675117577,0.3035801689709231,0.0567066985408346
Random Forest,0.2282,0.341995591529311,0.29910670462353983,0.042888886905771195
Random Forest,0.2331,0.345056279482509,0.2945753979801899,0.05048088150231911
Random Forest,0.2381,0.3432479881103696,0.2899851198816823,0.05326286822868731
Random Forest,0.243,0.3414160090848208,0.2853347115860583,0.056081297498762506
Random Forest,0.248,0.33955987389377695,0.28062298379340855,0.0589368901003684
Random Forest,0.2529,0.3376791015877114,0.27584871563185753,0.061830385955853884
Random Forest,0.2579,0.3357731983641828,0.27101065360290033,0.06476254476128246
Random Forest,0.2629,0.3396873808616089,0.2661075104841784,0.07357987037743047
Random Forest,0.2678,0.3378802731174258,0.2611379641876751,0.0767423089297507
Random Forest,0.2728,0.3421974866166314,0.2561006565712056,0.08609683004542579
Random Forest,0.2777,0.32410188920359717,0.25099419220095553,0.07310769700264164
Random Forest,0.2827,0.3223762041575122,0.2458171370627007,0.07655906709481153
Random Forest,0.2876,0.32062649754301414,0.24056801721920645,0.08005848032380769
Random Forest,0.2926,0.3188522642736681,0.2352453174111681,0.08360694686249998
Random Forest,0.2976,0.31705298500291235,0.22984747959890092,0.08720550540401142
Random Forest,0.3025,0.31522812561722297,0.2243729014418329,0.09085522417539008
Random Forest,0.3075,0.31337713670750605,0.21881993471268207,0.09455720199482398
Random Forest,0.3124,0.3114994530176196,0.21318688364302288,0.09831256937459673
Random Forest,0.3174,0.30959449286886254,0.20747200319675158,0.10212248967211096
Random Forest,0.3224,0.30766165755919855,0.20167349726775957,0.10598816029143898
Random Forest,0.3273,0.305700330735913,0.19578951679790296,0.10991081393801005
Random Forest,0.3323,0.30370987774032093,0.1898181578111267,0.11389171992919422
Random Forest,0.3372,0.3016896449230628,0.1837574593593525,0.11793218556371032
Random Forest,0.3422,0.2996389589284368,0.17760540137547431,0.12203355755296247
Random Forest,0.3471,0.29755712594612044,0.17135990242852528,0.12619722351759516
Random Forest,0.3521,0.27904998830558564,0.1650188173757734,0.11403117092981224
Random Forest,0.3571,0.2769036941490558,0.15857993490618388,0.11832375924287192
Random Forest,0.362,0.2840263262450552,0.15204097496933783,0.13198535127571737
Random Forest,0.367,0.282013784158446,0.14539958608352754,0.13661419807491848
Random Forest,0.3719,0.2896774391661585,0.13865334251635175,0.15102409664980676
Random Forest,0.3769,0.287808275206438,0.13179974133070982,0.15600853387572816
Random Forest,0.3818,0.28590912737678176,0.12483619928863687,0.16107292808814488
Random Forest,0.3868,0.28397926837213583,0.1177600496049353,0.16621921876720053
Random Forest,0.3918,0.28201794717316164,0.11056853854202991,0.17144940863113173
Random Forest,0.3967,0.28002438807176666,0.10325882183691504,0.17676556623485162
Random Forest,0.4017,0.27799778964818567,0.09582796095045126,0.1821698286977344
Random Forest,0.4066,0.287171974433566,0.0882729191286239,0.19889905530494212
Random Forest,0.4116,0.2853095836786679,0.08059055726466907,0.2047190264139988
Random Forest,0.4166,0.2834155405963784,0.0727776295502251,0.21063791104615331
Random Forest,0.4215,0.2814890313485297,0.064830778902849,0.2166582524456807
